iter	Passed	Remaining
0	139	138987
1	141	70361
2	142	47337
3	144	35868
4	145	28971
5	147	24359
6	148	21064
7	149	18589
8	151	16664
9	152	15102
10	153	13827
11	154	12760
12	156	11850
13	157	11068
14	158	10388
15	159	9795
16	160	9259
17	160	8782
18	161	8349
19	162	7962
20	163	7615
21	164	7306
22	165	7015
23	166	6757
24	167	6514
25	167	6288
26	168	6078
27	169	5882
28	170	5697
29	170	5526
30	171	5367
31	172	5216
32	173	5078
33	174	4946
34	174	4819
35	175	4700
36	176	4586
37	176	4479
38	177	4378
39	178	4281
40	179	4190
41	179	4101
42	180	4018
43	181	3938
44	181	3861
45	182	3788
46	183	3717
47	184	3649
48	184	3585
49	185	3522
50	186	3462
51	186	3403
52	187	3349
53	188	3296
54	188	3244
55	189	3195
56	190	3146
57	190	3099
58	191	3055
59	192	3011
60	192	2969
61	193	2929
62	194	2890
63	195	2853
64	195	2817
65	196	2782
66	197	2747
67	198	2713
68	198	2681
69	199	2649
70	200	2618
71	200	2589
72	201	2559
73	202	2531
74	202	2503
75	203	2476
76	204	2449
77	205	2424
78	205	2399
79	206	2374
80	207	2350
81	207	2327
82	208	2300
83	208	2278
84	209	2256
85	210	2236
86	211	2215
87	211	2194
88	212	2175
89	213	2155
90	213	2136
91	214	2117
92	215	2098
93	215	2081
94	216	2063
95	217	2045
96	217	2028
97	218	2011
98	219	1995
99	219	1978
100	220	1963
101	221	1947
102	221	1932
103	222	1917
104	223	1902
105	223	1887
106	224	1873
107	225	1861
108	226	1847
109	226	1834
110	227	1821
111	228	1808
112	228	1795
113	229	1782
114	230	1771
115	230	1759
116	231	1746
117	232	1734
118	232	1723
119	233	1711
120	234	1700
121	234	1688
122	235	1677
123	235	1667
124	236	1656
125	237	1646
126	237	1635
127	238	1625
128	239	1615
129	240	1606
130	240	1596
131	241	1587
132	242	1577
133	242	1568
134	243	1559
135	244	1550
136	244	1541
137	245	1532
138	245	1523
139	246	1515
140	247	1506
141	247	1497
142	248	1488
143	249	1480
144	249	1472
145	250	1465
146	251	1457
147	251	1449
148	252	1441
149	253	1434
150	253	1426
151	254	1420
152	255	1413
153	255	1405
154	256	1398
155	257	1392
156	257	1385
157	258	1378
158	259	1371
159	259	1364
160	260	1357
161	261	1350
162	261	1343
163	262	1337
