iter	Passed	Remaining
0	169	169397
1	171	85559
2	172	57390
3	173	43296
4	175	34846
5	176	29196
6	178	25252
7	179	22276
8	182	20125
9	184	18229
10	185	16659
11	186	15360
12	188	14280
13	189	13351
14	191	12543
15	194	11938
16	196	11343
17	197	10762
18	198	10249
19	199	9787
20	200	9369
21	202	8984
22	203	8639
23	206	8411
24	208	8130
25	210	7898
26	211	7638
27	213	7397
28	214	7175
29	215	6969
30	216	6775
31	218	6602
32	221	6489
33	224	6376
34	225	6226
35	227	6081
36	228	5945
37	229	5814
38	230	5687
39	232	5568
40	234	5492
41	236	5389
42	237	5286
43	238	5186
44	239	5090
45	241	4998
46	242	4909
47	243	4823
48	244	4743
49	245	4672
50	248	4631
51	251	4583
52	252	4519
53	254	4452
54	255	4386
55	256	4324
56	257	4262
57	258	4202
58	259	4145
59	261	4103
60	263	4052
61	264	4000
62	265	3947
63	266	3897
64	267	3848
65	268	3800
66	269	3754
67	270	3710
68	271	3667
69	272	3626
70	274	3592
71	276	3566
72	277	3528
73	278	3490
74	279	3452
75	281	3418
76	282	3384
77	283	3350
78	284	3317
79	285	3284
80	286	3252
81	287	3223
82	288	3188
83	290	3170
84	292	3144
85	293	3116
86	294	3088
87	295	3060
88	296	3034
89	297	3008
90	298	2982
91	299	2957
92	300	2932
93	301	2909
94	302	2885
95	304	2870
96	306	2849
97	307	2827
98	308	2805
99	309	2784
100	310	2764
101	311	2744
102	312	2723
103	313	2703
104	315	2685
105	316	2666
106	317	2647
107	319	2635
108	320	2618
109	321	2600
110	322	2582
111	323	2564
112	324	2547
113	325	2530
114	326	2513
115	327	2496
116	328	2480
117	329	2465
118	331	2450
119	332	2436
120	334	2428
121	335	2414
122	336	2399
123	337	2385
124	338	2371
125	339	2357
126	340	2341
127	341	2329
128	343	2317
129	344	2303
130	345	2291
131	346	2278
132	347	2266
133	349	2256
134	350	2248
135	351	2235
136	352	2223
137	354	2211
138	355	2201
139	356	2190
140	357	2179
141	358	2166
142	359	2154
143	360	2143
144	361	2134
145	363	2126
146	365	2118
147	366	2107
148	367	2097
149	368	2088
150	369	2078
151	370	2068
152	372	2059
153	373	2049
154	374	2039
155	375	2029
156	376	2021
157	377	2013
158	379	2007
159	380	1998
160	381	1987
161	382	1978
162	383	1969
163	384	1960
164	385	1952
165	386	1943
166	387	1935
167	388	1926
168	390	1918
169	391	1912
170	393	1907
171	394	1899
172	395	1891
173	396	1884
174	397	1875
175	399	1868
176	400	1860
177	401	1853
178	402	1845
179	403	1838
180	404	1830
181	406	1825
182	408	1821
183	409	1815
184	410	1808
185	411	1800
186	412	1794
187	413	1787
188	415	1781
189	416	1777
190	418	1772
191	420	1768
192	424	1776
193	426	1772
194	428	1769
195	430	1764
196	432	1762
197	441	1788
198	443	1785
199	445	1781
200	447	1777
201	448	1773
202	452	1776
203	454	1773
204	456	1770
205	458	1766
206	460	1762
207	487	1857
208	489	1853
209	491	1850
210	493	1846
211	496	1845
212	498	1840
213	499	1835
214	501	1829
215	503	1827
216	505	1823
217	506	1817
218	507	1811
219	509	1805
220	510	1799
221	511	1793
222	513	1789
223	515	1784
224	516	1778
225	517	1772
226	518	1766
227	520	1760
228	521	1755
229	522	1749
230	524	1747
231	527	1745
232	529	1744
233	531	1740
234	534	1741
235	536	1736
236	538	1732
237	541	1733
238	544	1733
239	546	1729
240	547	1725
241	549	1721
242	551	1717
243	552	1712
244	555	1710
245	556	1706
246	558	1703
247	559	1697
248	561	1692
249	562	1686
250	563	1681
251	564	1675
252	565	1670
253	567	1666
254	568	1662
255	570	1656
256	571	1652
257	573	1648
258	574	1644
259	576	1639
260	577	1634
261	578	1629
262	579	1625
263	581	1619
264	582	1615
265	583	1610
266	584	1605
267	586	1601
268	588	1598
269	589	1594
270	590	1589
271	592	1584
272	593	1579
273	594	1575
274	595	1570
275	597	1566
276	598	1561
277	599	1556
278	600	1552
279	603	1551
280	604	1546
281	605	1542
282	606	1537
283	608	1533
284	609	1529
285	610	1524
286	612	1520
287	613	1515
288	614	1511
289	615	1506
290	617	1504
291	618	1500
292	620	1496
293	621	1491
294	622	1487
295	623	1483
296	624	1479
297	626	1474
298	627	1470
299	628	1466
300	630	1464
301	632	1460
302	633	1456
303	634	1452
304	635	1448
305	636	1443
306	637	1439
307	638	1434
308	639	1430
309	640	1426
310	641	1422
311	642	1417
312	644	1414
313	646	1412
314	647	1409
315	649	1405
316	650	1401
317	651	1397
318	652	1393
319	653	1389
320	654	1384
321	655	1381
322	656	1377
323	658	1373
324	660	1371
325	661	1368
326	663	1364
327	664	1360
328	665	1357
329	666	1353
330	667	1349
331	668	1345
332	669	1341
333	670	1337
334	671	1333
335	673	1329
336	674	1327
337	676	1324
338	677	1320
339	678	1317
340	679	1313
341	680	1309
342	681	1305
343	682	1301
344	683	1297
345	684	1294
346	685	1290
347	686	1286
348	688	1283
349	689	1281
350	691	1278
351	692	1275
352	694	1272
353	695	1268
354	696	1264
355	697	1261
356	698	1257
357	699	1254
358	700	1250
359	701	1247
360	703	1244
361	704	1242
362	706	1239
363	707	1235
364	708	1232
365	709	1229
366	710	1225
367	711	1222
368	712	1218
369	713	1215
370	715	1212
371	716	1209
372	718	1207
373	719	1204
374	720	1201
375	722	1198
376	723	1194
377	724	1191
378	725	1188
379	726	1185
380	727	1181
381	728	1178
382	729	1175
383	731	1172
384	732	1170
385	734	1168
386	735	1165
387	737	1162
388	738	1159
389	739	1156
390	740	1153
391	741	1150
392	743	1148
393	744	1145
394	746	1143
395	748	1141
396	749	1138
397	750	1135
398	751	1132
399	753	1129
400	754	1126
401	755	1123
402	756	1120
403	757	1117
404	758	1114
405	759	1111
406	761	1108
407	762	1106
408	763	1103
409	765	1101
410	766	1098
411	767	1095
412	768	1092
413	769	1089
414	770	1086
415	771	1083
416	773	1081
417	774	1078
418	776	1076
419	778	1075
420	779	1072
421	781	1069
422	782	1067
423	784	1066
424	786	1063
425	787	1061
426	788	1058
427	790	1056
428	792	1054
429	793	1051
430	794	1048
431	795	1046
432	796	1043
433	797	1040
434	798	1037
435	800	1034
436	801	1032
437	802	1029
438	803	1026
439	805	1024
440	806	1021
441	807	1019
442	808	1016
443	809	1013
444	810	1010
445	811	1008
446	812	1005
447	813	1002
448	814	999
449	815	997
450	817	994
451	818	992
452	819	989
453	821	988
454	822	985
455	824	983
456	825	980
457	826	978
458	827	975
459	828	973
460	829	970
461	831	967
462	832	965
463	833	963
464	835	960
465	836	958
466	837	956
467	838	953
468	839	951
469	841	948
470	842	945
471	843	943
472	844	940
473	845	938
474	846	935
475	847	933
476	849	931
477	851	929
478	852	927
479	853	925
480	854	922
481	856	919
482	857	917
483	858	914
484	859	912
485	860	910
486	861	907
487	863	906
488	865	904
489	866	901
490	867	899
491	868	897
492	870	894
493	871	892
494	872	889
495	873	887
496	874	884
497	875	882
498	876	880
499	878	878
500	880	876
501	881	874
502	882	872
503	883	869
504	884	867
505	885	864
506	886	862
507	887	859
508	889	857
509	890	855
510	891	852
511	892	851
512	894	848
513	895	846
514	896	844
515	897	841
516	898	839
517	899	837
518	900	834
519	901	832
520	902	830
521	904	827
522	905	825
523	906	823
524	908	821
525	909	819
526	911	817
527	912	815
528	913	813
529	914	811
530	915	808
531	916	806
532	917	804
533	918	801
534	920	799
535	922	798
536	924	796
537	925	794
538	926	792
539	928	790
540	930	789
541	931	787
542	932	785
543	934	782
544	935	781
545	937	779
546	939	777
547	940	776
548	942	774
549	943	772
550	944	769
551	946	768
552	947	765
553	948	763
554	950	762
555	952	760
556	954	758
557	955	756
558	956	754
559	957	752
560	959	750
561	960	748
562	961	746
563	962	744
564	963	742
565	965	740
566	967	738
567	968	736
568	969	734
569	970	732
570	972	730
571	973	728
572	974	726
573	975	724
574	976	722
575	978	720
576	980	718
577	982	717
578	983	715
579	984	713
580	986	711
581	987	709
582	989	707
583	990	705
584	991	703
585	994	702
586	996	700
587	997	699
588	999	697
589	1001	695
590	1002	693
591	1003	691
592	1005	689
593	1006	687
594	1008	686
595	1010	684
596	1011	682
597	1012	680
598	1014	679
599	1016	677
600	1017	675
601	1019	673
602	1020	671
603	1023	670
604	1026	670
605	1029	669
606	1032	668
607	1034	666
608	1036	665
609	1042	666
610	1044	664
611	1046	663
612	1047	661
613	1049	659
614	1050	657
615	1053	656
616	1055	655
617	1057	653
618	1058	651
619	1059	649
620	1060	647
621	1062	645
622	1064	643
623	1066	642
624	1068	641
625	1070	639
626	1071	637
627	1072	635
628	1073	633
629	1075	631
630	1076	629
631	1077	627
632	1079	625
633	1080	623
634	1084	623
635	1085	621
636	1087	619
637	1089	618
638	1090	616
639	1092	614
640	1093	612
641	1095	611
642	1097	609
643	1098	607
644	1099	605
645	1100	603
646	1101	601
647	1103	599
648	1104	597
649	1106	595
650	1107	593
651	1109	592
652	1111	590
653	1113	588
654	1114	587
655	1115	585
656	1116	583
657	1118	581
658	1119	579
659	1120	577
660	1122	575
661	1124	574
662	1126	572
663	1128	570
664	1129	569
665	1130	567
666	1132	565
667	1133	563
668	1135	561
